,X1,X2,X3,X4,X5,X6,Y
1,0.4525533353,69.1137559945,-2.5585546903,DA,23.2101628324,261304.140090942,1
2,0.8653731153,39.8552857805,-0.7279010769,NE,24.1367359646,794147.342443466,0
3,0.4786542212,82.3217690224,-6.092819497,NE,70.4413308296,937875.790987164,0
4,0.5681155506,82.6381106628,-8.2488774415,DA,27.6077288203,197308.828588575,1
5,0.9366209414,34.4601517543,-9.5776840253,NE,46.77312118,253860.316937789,0
6,0.3482428105,32.3191044154,-9.4170998782,DA,25.5055621499,790580.74997738,0
7,0.7107690396,21.0953918518,2.8824839881,DA,80.7140342426,177130.733150989,1
8,0.1914595268,18.3303934988,1.672449396,DA,4.7019663965,322082.06015639,1
9,0.0982986116,36.3010933157,-0.0041453633,NE,13.6016404955,303221.818525344,0
10,0.946602128,58.2571489038,4.6690740762,NE,82.5361822033,928184.304386377,0
11,0.9283705228,30.9294857085,6.6894881846,NE,54.6085373731,329157.474916428,0
12,0.6830833787,9.266720945,1.5547686443,DA,61.6820841329,514965.151436627,1
13,0.8313789004,47.5713288411,3.9839652786,NE,24.7561012395,952114.777639508,0
14,0.8392073126,88.3446347667,2.7765724482,NE,89.6555032348,723072.48506695,0
15,0.8397337806,84.6348888939,-5.2152228728,NE,83.9294667123,152537.538670003,0
16,0.8701641236,11.3813414006,-4.7371313488,DA,85.1717168465,605091.849109158,1
17,0.0226226291,83.2570375875,-8.8098190119,NE,0.2656765515,782157.490495592,0
18,0.8101384742,87.6937123481,7.8158513876,DA,17.0410122955,575875.625945628,0
19,0.4277300113,17.5333564635,9.6175626572,DA,18.1626561331,847244.863398373,1
20,0.7649764672,19.4862695877,-3.7932813819,DA,71.1728761904,712084.403960034,1
21,0.6238375653,97.6507377578,3.6376294913,NE,91.8748921249,484772.493364289,0
22,0.4744407583,98.076517391,-3.2605811348,DA,32.4074271834,906102.304114029,1
23,0.5931573869,59.1065865941,4.5990811568,NE,69.1733367741,478726.854315028,1
